iter	RMSE
0	14.05237477
1	12.53176197
2	11.31104529
3	10.41902534
4	9.584198739
5	8.910860655
6	8.286397431
7	7.837978749
8	7.330857671
9	6.897519015
10	6.520265268
11	6.25786716
12	5.97985426
13	5.700496527
14	5.511143262
15	5.360231137
16	5.235158269
17	5.106412837
18	5.013043846
19	4.902664331
20	4.770395945
21	4.69172068
22	4.608771673
23	4.506946412
24	4.41654854
25	4.370979211
26	4.326885499
27	4.260966017
28	4.186974369
29	4.163336089
30	4.069020881
31	3.958717873
32	3.909408639
33	3.875804155
34	3.815506937
35	3.778785199
36	3.709930114
37	3.682526537
38	3.673940715
39	3.662933042
40	3.613478139
41	3.533566546
42	3.505577044
43	3.453412474
44	3.395210016
45	3.365318307
46	3.343275426
47	3.265441491
48	3.223583083
49	3.161975115
50	3.102011886
51	3.083667149
52	3.040053893
53	2.988893026
54	2.970873784
55	2.918493788
56	2.909806808
57	2.869328927
58	2.838834377
59	2.817699003
60	2.800430947
61	2.768300723
62	2.732535594
63	2.723478988
64	2.716157959
65	2.703388132
66	2.670906211
67	2.647731028
68	2.591845401
69	2.580019766
70	2.548256293
71	2.524518607
72	2.503552912
73	2.47077968
74	2.423748046
75	2.41766573
76	2.406440018
77	2.37877645
78	2.340475025
79	2.295689704
80	2.250655315
81	2.222624186
82	2.207351383
83	2.171254884
84	2.15898124
85	2.122521002
86	2.098723908
87	2.06830131
88	2.044030521
89	2.020966221
90	1.988201805
91	1.983173815
92	1.953942746
93	1.917634881
94	1.89617838
95	1.886790459
96	1.860921647
97	1.855736098
98	1.845510883
99	1.81332086
