iter	Passed	Remaining
0	0	21
1	0	18
2	0	18
3	0	18
4	0	18
5	1	18
6	1	18
7	1	18
8	1	16
9	1	16
10	1	15
11	2	15
12	2	15
13	2	15
14	2	15
15	2	15
16	3	15
17	3	14
18	3	14
19	3	14
20	3	14
21	4	14
22	4	14
23	4	14
24	4	13
25	4	13
26	5	13
27	5	13
28	5	13
29	5	13
30	8	18
31	8	18
32	8	17
33	8	17
34	9	16
35	9	16
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	12
47	11	12
48	11	12
49	11	11
50	11	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	8
61	14	8
62	14	8
63	14	8
64	14	7
65	15	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	19	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	20	1
94	24	1
95	24	1
96	24	0
97	27	0
98	27	0
99	28	0
